sentence,path
d ayla-s uxxam-a,"common_voice_kab_18722633,common_voice_kab_18792782,common_voice_kab_18708264,common_voice_kab_18922388,common_voice_kab_18754067"
d ayla-w,"common_voice_kab_18837644,common_voice_kab_18947427,common_voice_kab_18895256,common_voice_kab_18843798,common_voice_kab_18878327"
d ayla-w anaɣ,"common_voice_kab_18447378,common_voice_kab_18245447,common_voice_kab_17949071,common_voice_kab_17895491,common_voice_kab_18073973,common_voice_kab_18124317,common_voice_kab_19539875,common_voice_kab_18271007,common_voice_kab_17967556,common_voice_kab_18093742,common_voice_kab_20929752,common_voice_kab_19389991,common_voice_kab_18437752,common_voice_kab_20529475,common_voice_kab_21932918,common_voice_kab_18137472"
d ayla-w wiyi,"common_voice_kab_18885852,common_voice_kab_18856574,common_voice_kab_18975803,common_voice_kab_18907576,common_voice_kab_18842944"
d aynas ass-a naɣ,"common_voice_kab_20399362,common_voice_kab_20422639,common_voice_kab_21921642,common_voice_kab_20912423,common_voice_kab_20521868"
d aggur,"common_voice_kab_22262264,common_voice_kab_19279270,common_voice_kab_20033257,common_voice_kab_20600033,common_voice_kab_21043831"
d agguren aya seg wasmi ur mluɛan,"common_voice_kab_33215919,common_voice_kab_33530199"
d agguren aya seg wasmi ur ssawlent,"common_voice_kab_33495413,common_voice_kab_33215926"
d azamul n ccbaḥa,"common_voice_kab_19304198,common_voice_kab_21578734,common_voice_kab_19303599,common_voice_kab_20687328"
d azaɛlelli i yettzaɛlellay,"common_voice_kab_20676301,common_voice_kab_19072245,common_voice_kab_22339889,common_voice_kab_21259839,common_voice_kab_19105010"
d azduz n tḍabit,"common_voice_kab_20891162,common_voice_kab_21890475,common_voice_kab_19023195,common_voice_kab_19146492"
d azeggaɣ,"common_voice_kab_18031939,common_voice_kab_17892499,common_voice_kab_17928508,common_voice_kab_18859677,common_voice_kab_18004435"
d azeggaɣ axiṛ,"common_voice_kab_22332635,common_voice_kab_20172618,common_voice_kab_19414426,common_voice_kab_21406335,common_voice_kab_20674828"
d azemmur-nni yerɣan i yettɣiḍen,"common_voice_kab_24488204"
d azger aramul,"common_voice_kab_18951009,common_voice_kab_18452308,common_voice_kab_17898562,common_voice_kab_18018234,common_voice_kab_17929785"
d azger bu yiwen yicc,"common_voice_kab_19103016,common_voice_kab_19007371,common_voice_kab_21192392,common_voice_kab_20668609,common_voice_kab_22308825"
d azref-ik ad terfuḍ,"common_voice_kab_17896095,common_voice_kab_18158614,common_voice_kab_18004440,common_voice_kab_17918996,common_voice_kab_18822730"
d azref-is ad yagi,"common_voice_kab_19470582,common_voice_kab_21904772,common_voice_kab_19211256,common_voice_kab_20514924,common_voice_kab_20897149"
d azrem ay iɣurren ḥewwa,"common_voice_kab_23348139,common_voice_kab_22937645"
d azuran uqjun-nni-inek,"common_voice_kab_20787279,common_voice_kab_19015774,common_voice_kab_22497301,common_voice_kab_19127365,common_voice_kab_21802626,common_voice_kab_18994624"
d azwaw s umendil awṛaɣ,"common_voice_kab_22748634,common_voice_kab_22737096,common_voice_kab_22748621"
d azwel n leɛḍil kan,"common_voice_kab_19178364,common_voice_kab_20973737,common_voice_kab_19040455,common_voice_kab_19003949"
d azɣal ass-a,"common_voice_kab_18525664,common_voice_kab_23998920,common_voice_kab_17926793,common_voice_kab_18040896,common_voice_kab_17943546,common_voice_kab_23723384,common_voice_kab_22409785"
d azɣal dagi,"common_voice_kab_23610123,common_voice_kab_23396776"
d azɣal ɣef madden meṛṛa mačči kan fell-aneɣ,"common_voice_kab_18019361,common_voice_kab_17935266,common_voice_kab_18966251,common_voice_kab_18458302,common_voice_kab_17901534"
d aɛdaw-iw i telliḍ,"common_voice_kab_22052493,common_voice_kab_20540124,common_voice_kab_20430689,common_voice_kab_20401842,common_voice_kab_22075762"
d aɛdawen i nella,"common_voice_kab_20383170,common_voice_kab_20860185,common_voice_kab_20352943,common_voice_kab_21858607"
d aɛdil ara tẓeḍ,"common_voice_kab_21606567,common_voice_kab_20230360,common_voice_kab_19516420,common_voice_kab_20705929"
d aɛeggal n ukabar n uɣref azzayri,"common_voice_kab_19077495,common_voice_kab_19092304,common_voice_kab_20933407,common_voice_kab_21928006,common_voice_kab_19181448"
d aɛeggun i telliḍ,"common_voice_kab_20423296,common_voice_kab_20399444,common_voice_kab_21919730,common_voice_kab_20906412,common_voice_kab_20519525"
d aɛeggun s tidet,"common_voice_kab_20352917,common_voice_kab_20492676,common_voice_kab_20810831,common_voice_kab_20384591,common_voice_kab_22653233,common_voice_kab_21842725"
d aɛejmi neɣ d izimer d ayla n umeɣlal,"common_voice_kab_21680060,common_voice_kab_19325680,common_voice_kab_22378964,common_voice_kab_20728509,common_voice_kab_20231087"
d aɛembub i yeɛna mačči d zzyen,"common_voice_kab_20756425,common_voice_kab_19081028,common_voice_kab_21759185,common_voice_kab_19121595,common_voice_kab_22452638"
d aɛeyyeb kan d usderɣel,"common_voice_kab_24311072,common_voice_kab_24329197"
d aɛiban i telliḍ,"common_voice_kab_21680036,common_voice_kab_20368848,common_voice_kab_22377455,common_voice_kab_20450911,common_voice_kab_20728064"
d aɛrab aberquc,"common_voice_kab_19845695,common_voice_kab_19230193,common_voice_kab_20946214,common_voice_kab_20536894,common_voice_kab_22052664"
d aɣanim yetthuzzu waḍu,"common_voice_kab_21597692,common_voice_kab_22348804,common_voice_kab_20200364,common_voice_kab_20699998,common_voice_kab_19311220"
d aɣbel i sneqseɣ i yiman-iw,"common_voice_kab_23068981,common_voice_kab_23310159"
d aɣbel kan waki,"common_voice_kab_22111271,common_voice_kab_19868986,common_voice_kab_19233699,common_voice_kab_20560022,common_voice_kab_20965047"
d aɣbel-ik mačči d ayla-w,"common_voice_kab_23141105,common_voice_kab_23343427"
d aɣbel-ik wagi,"common_voice_kab_20238316,common_voice_kab_21662086,common_voice_kab_22373080,common_voice_kab_19429545,common_voice_kab_20724080"
d aɣbel-im wagi,"common_voice_kab_19825750,common_voice_kab_20544865,common_voice_kab_19393715,common_voice_kab_20940739,common_voice_kab_21968834"
d aɣbel-is ay uḍneɣ ugar n yiman-iw,"common_voice_kab_22656004,common_voice_kab_20806771,common_voice_kab_20486578,common_voice_kab_21849931,common_voice_kab_19198492"
d aɣbel-is wagi,"common_voice_kab_21623979,common_voice_kab_22364023,common_voice_kab_20715169,common_voice_kab_19431565,common_voice_kab_20210608"
d aɣbel-nsen wagi,"common_voice_kab_19526222,common_voice_kab_22326386,common_voice_kab_21270878,common_voice_kab_20170033,common_voice_kab_20684725"
d aɣbel-nsent wagi,"common_voice_kab_21766658,common_voice_kab_19381075,common_voice_kab_20339213,common_voice_kab_22440396,common_voice_kab_19440279,common_voice_kab_20756124"
d aɣbub ay uɣeɣ,"common_voice_kab_19355273,common_voice_kab_20882638,common_voice_kab_20501702,common_voice_kab_19241272,common_voice_kab_21865797"
d aɣebbar i d lqut-iw,"common_voice_kab_27154549,common_voice_kab_24493782"
d aɣebbaṛ kan ɣef allen,"common_voice_kab_17946990,common_voice_kab_18015095,common_voice_kab_18827235,common_voice_kab_18343077,common_voice_kab_17894345"
d aɣebbaṛ s allen,"common_voice_kab_19088624,common_voice_kab_19154540,common_voice_kab_19002681,common_voice_kab_20895690,common_voice_kab_21904806"
d aɣedluj i yečča,"common_voice_kab_18873321,common_voice_kab_18856563,common_voice_kab_18902493,common_voice_kab_18895253,common_voice_kab_22525967,common_voice_kab_18833794"
d aɣelluy seg tilawt,"common_voice_kab_22685123,common_voice_kab_20865258,common_voice_kab_20886834,common_voice_kab_21855909,common_voice_kab_20833139,common_voice_kab_20813959"
d aɣerbal imceṛceṛ,"common_voice_kab_22276307,common_voice_kab_19264744,common_voice_kab_21085472,common_voice_kab_20593397"
d aɣerbaz,"common_voice_kab_22286855,common_voice_kab_21138831,common_voice_kab_20638289,common_voice_kab_20109808,common_voice_kab_19285708"
d aɣerbaz n central,"common_voice_kab_23998611,common_voice_kab_23543730,common_voice_kab_23543805"
d aɣerbaz yelhan mliḥ,"common_voice_kab_34816993,common_voice_kab_34120466"
d aɣerbaz-nneɣ aya,"common_voice_kab_20449336,common_voice_kab_20687299,common_voice_kab_22339330,common_voice_kab_20408584,common_voice_kab_21414786"
d aɣerbaz-nteɣ aya,"common_voice_kab_20410236,common_voice_kab_20443609,common_voice_kab_20602444,common_voice_kab_21097920,common_voice_kab_22278961"
d aɣerday,"common_voice_kab_22388757,common_voice_kab_22382090"
d aɣersiw aweḥci,"common_voice_kab_20488612,common_voice_kab_20808515,common_voice_kab_22640731,common_voice_kab_20351282,common_voice_kab_21839170,common_voice_kab_20383996"
d aɣezfan,"common_voice_kab_22399989,common_voice_kab_22389283"
d aɣeṛman amarikani i lliɣ,"common_voice_kab_23154532,common_voice_kab_23347185"
d aɣilif,"common_voice_kab_22394723,common_voice_kab_22387316"
d aɣiliw deg učči,"common_voice_kab_22340129,common_voice_kab_20196447,common_voice_kab_20695356,common_voice_kab_21573642,common_voice_kab_19515141"
d aɣrib a ṛebbi,"common_voice_kab_20407669,common_voice_kab_22217260,common_voice_kab_20991769"
d aɣrib nnig lkanun weḥceɣ amwanes ur yelli,"common_voice_kab_24280275,common_voice_kab_24504070"
d aɣrud adday kan i ttaɣen,"common_voice_kab_23166140,common_voice_kab_23363975"
d aɣrum i tetten siwa lmuqeddmin,"common_voice_kab_21797203,common_voice_kab_22478083,common_voice_kab_20477808,common_voice_kab_20795290"
d aɣurar iqqur wakal,"common_voice_kab_24552039,common_voice_kab_28678003"
d aɣyul neɣ d aserdun kifkif,"common_voice_kab_18981101,common_voice_kab_18881591,common_voice_kab_18846285,common_voice_kab_18895552,common_voice_kab_18847757"
d aɣyul-iw kan i sɛiɣ d arfiq,"common_voice_kab_24534434,common_voice_kab_24385769"
d aɣḍaṣ n yasuɛ deg waman,"common_voice_kab_19358300,common_voice_kab_21841807,common_voice_kab_20806812,common_voice_kab_20493623,common_voice_kab_19253187,common_voice_kab_22665222"
d aɣṛef aqbayli ara m-yefken azal,"common_voice_kab_33216020,common_voice_kab_33437743"
d aḍar i tedduɣ ɣer uɣerbaz,"common_voice_kab_23331945,common_voice_kab_23090122"
d aḍar n ugujil i yesɣersen taṛakna,"common_voice_kab_18166754,common_voice_kab_17947864,common_voice_kab_22618242,common_voice_kab_17928714,common_voice_kab_17906388,common_voice_kab_17940919"
d aḍar-is i telliḍ txeẓẓreḍ,"common_voice_kab_23410665,common_voice_kab_23620325"
d aḍebsi kan iwumi tessal,"common_voice_kab_17955402,common_voice_kab_18629525,common_voice_kab_18054009,common_voice_kab_22467461,common_voice_kab_17971671,common_voice_kab_18010971"
d aḍilli kan i d-iḍall,"common_voice_kab_18648787,common_voice_kab_18583059,common_voice_kab_18594318,common_voice_kab_18985730,common_voice_kab_18568205"
d aḍilli kan i d-ttḍillin ɣer tmurt,"common_voice_kab_22501790,common_voice_kab_18525617,common_voice_kab_18549527,common_voice_kab_18546471,common_voice_kab_18638207,common_voice_kab_18546709"
d aḍref n lbaṭaṭa kan,"common_voice_kab_21771124,common_voice_kab_19121621,common_voice_kab_18994544,common_voice_kab_21770722,common_voice_kab_19018629,common_voice_kab_20757675"
d aḍu ass-a,"common_voice_kab_19398960,common_voice_kab_21069273,common_voice_kab_20593987,common_voice_kab_22260199"
d aḍu yesserɣayen i ten-id-iṣaḥen d amur-nsen,"common_voice_kab_24545728,common_voice_kab_28591741"
d aḥbib-ik i d aɛdaw-ik,"common_voice_kab_19168408,common_voice_kab_20985131,common_voice_kab_19004651,common_voice_kab_22205862,common_voice_kab_19040568"
d aḥbib-iw,"common_voice_kab_28570847,common_voice_kab_24547518"
d aḥdaq awsaq,"common_voice_kab_18528561,common_voice_kab_17984096,common_voice_kab_17898175,common_voice_kab_17919261,common_voice_kab_18041733,common_voice_kab_22585651"
d aḥeqqi mi ara tḥasbeḍ yiwen,"common_voice_kab_24244836,common_voice_kab_24422627"
d aḥerfi maḍi wungal-is mačči d ayen meqqren,"common_voice_kab_20565186,common_voice_kab_22169913,common_voice_kab_19256625,common_voice_kab_19902196,common_voice_kab_20967959"
d aḥerki ɣer lbaṭel,"common_voice_kab_17369954,common_voice_kab_17410365,common_voice_kab_17773253,common_voice_kab_17537836,common_voice_kab_17624365,common_voice_kab_17363192,common_voice_kab_18295595,common_voice_kab_17363921,common_voice_kab_17364987,common_voice_kab_17659893,common_voice_kab_17619781,common_voice_kab_17839331,common_voice_kab_17417789,common_voice_kab_18069049,common_voice_kab_17361147,common_voice_kab_17363838,common_voice_kab_17512924"
d aḥerrag n teqcicin i d-iɛeddan,"common_voice_kab_33149976"
d aḥerrag n tlawin i d-iɛeddan,"common_voice_kab_23643146,common_voice_kab_23666736"
d aḥerrag n tullas i d-iɛeddan,"common_voice_kab_23645402,common_voice_kab_23849586"
d aḥili i telliḍ,"common_voice_kab_20891255,common_voice_kab_19525523,common_voice_kab_21896378,common_voice_kab_19492303,common_voice_kab_20508616"
d aḥiwel d aɣiwel,"common_voice_kab_17900258,common_voice_kab_17921564,common_voice_kab_18004630,common_voice_kab_18818439,common_voice_kab_18151980"
d aḥnin di lecɣwal-is merra,"common_voice_kab_24257640"
d aḥric kan seg uɣbel,"common_voice_kab_20359327,common_voice_kab_20985110,common_voice_kab_20359321,common_voice_kab_22205683,common_voice_kab_20580659"
d aḥulfu kan i tt-bɣiɣ,"common_voice_kab_19015309,common_voice_kab_21750165,common_voice_kab_19127597,common_voice_kab_20747365"
d aḥullu i tettḥullu deg wawal,"common_voice_kab_20924744,common_voice_kab_19800623,common_voice_kab_20526104,common_voice_kab_19228200,common_voice_kab_21931630"
d aḥullu i tettḥullum deg wawal,"common_voice_kab_19304233,common_voice_kab_20200797,common_voice_kab_21601984,common_voice_kab_20703471,common_voice_kab_22349941"
d aḥullu i tettḥullumt deg wawal,"common_voice_kab_20958831,common_voice_kab_20545013,common_voice_kab_19252168,common_voice_kab_19868046,common_voice_kab_22170120"
d aḥullu i tettḥulluḍ deg wawal,"common_voice_kab_19901626,common_voice_kab_20985147,common_voice_kab_22200446"
d aḥullu i ttḥullun deg wawal,"common_voice_kab_19211128,common_voice_kab_20911115,common_voice_kab_21911399,common_voice_kab_20514294"
d aḥullu i ttḥullunt deg wawal,"common_voice_kab_22191951,common_voice_kab_19255875,common_voice_kab_19886869,common_voice_kab_20565387"
d aḥullu i yettḥullu deg wawal,"common_voice_kab_22351395,common_voice_kab_21604482,common_voice_kab_19307324,common_voice_kab_20200041,common_voice_kab_20703549"
d aṛaṭiw uyaziḍ,"common_voice_kab_20763611,common_voice_kab_22460557,common_voice_kab_19023715,common_voice_kab_18996631,common_voice_kab_21787126,common_voice_kab_19127156"
d aṣraɛ i ten-ṣerɛen,"common_voice_kab_18412441,common_voice_kab_18481688,common_voice_kab_18485828,common_voice_kab_18299861,common_voice_kab_18107615,common_voice_kab_18047819"
d aṭaksi i ṭṭfeɣ mi rziɣ s anafag,"common_voice_kab_33307701,common_voice_kab_33508479"
d aṭufan kan,"common_voice_kab_18891136,common_voice_kab_18851172,common_voice_kab_18870019,common_voice_kab_18840109,common_voice_kab_18944783"
d aṭṭan iweɛren,"common_voice_kab_24357499,common_voice_kab_24493984"
d aṭṭan kan i tuḍneḍ tura aql-ik teḥliḍ,"common_voice_kab_21905969,common_voice_kab_20902954,common_voice_kab_20512896,common_voice_kab_19201845,common_voice_kab_19470339"
d aẓar i yeṭṭfen addag yettak-as aman,"common_voice_kab_18952366,common_voice_kab_18838434,common_voice_kab_18881562,common_voice_kab_18899553"
d aẓar-nni i tt-iḥemmlen,"common_voice_kab_19018267,common_voice_kab_22457276,common_voice_kab_20770971,common_voice_kab_19122114,common_voice_kab_18996711,common_voice_kab_21775678"
d aẓawan i d aramsu-s,"common_voice_kab_20668281,common_voice_kab_20446209,common_voice_kab_22342078,common_voice_kab_21188816"
d aẓawn i d kullec,"common_voice_kab_20020281,common_voice_kab_20999442,common_voice_kab_19713661"
d aẓayan maca zmereɣ-as,"common_voice_kab_22752412,common_voice_kab_22752677"
d aẓaṛ n teqbaylit i d-yessawlen,"common_voice_kab_33001489,common_voice_kab_33451108"
d aẓekka i d axxam-nsen n dayem,"common_voice_kab_24534308,common_voice_kab_28534051"
d aẓidan,"common_voice_kab_20951876,common_voice_kab_20388538,common_voice_kab_21785658,common_voice_kab_20357184,common_voice_kab_20348896,common_voice_kab_22463250,common_voice_kab_20543191,common_voice_kab_20382398,common_voice_kab_20468479,common_voice_kab_22055027,common_voice_kab_20778425"
d aẓidan seksu-inek,"common_voice_kab_20443648,common_voice_kab_20669695,common_voice_kab_21223432,common_voice_kab_21220948,common_voice_kab_20407670"
d aẓidan seksu-inem,"common_voice_kab_22047860,common_voice_kab_20401997,common_voice_kab_20537169,common_voice_kab_20432406,common_voice_kab_20959112"
d aẓidan weɣrum-a,"common_voice_kab_20537292,common_voice_kab_20388357,common_voice_kab_20356707,common_voice_kab_20948121,common_voice_kab_22078891"
d aẓɣal,"common_voice_kab_22269129,common_voice_kab_20634552,common_voice_kab_20032251,common_voice_kab_21056190,common_voice_kab_20098581,common_voice_kab_19756764,common_voice_kab_21059156,common_voice_kab_22276396,common_voice_kab_19580080,common_voice_kab_20600057"
d aẓɣal ass-a naɣ,"common_voice_kab_20476049,common_voice_kab_22476591,common_voice_kab_20788121,common_voice_kab_20422651,common_voice_kab_21798068,common_voice_kab_20395214"
d aẓɣal aṭas ass-a,"common_voice_kab_21624929,common_voice_kab_20718701,common_voice_kab_20413483,common_voice_kab_20419252,common_voice_kab_22365420"
d aẓɣal aṭas deg texxamt-inu,"common_voice_kab_23231967,common_voice_kab_23011106"
d aẓɣal da,"common_voice_kab_22389677,common_voice_kab_22383228"
d aẓɣal da akk anebdu,"common_voice_kab_21110087,common_voice_kab_20843003,common_voice_kab_22281367,common_voice_kab_20866256,common_voice_kab_20828518"
d aẓɣal deg beṛṛa,"common_voice_kab_22195677,common_voice_kab_20360653,common_voice_kab_20987188,common_voice_kab_20437307,common_voice_kab_20582340"
d aẓɣal din,"common_voice_kab_23218695,common_voice_kab_23370474"
d aẓɣal mliḥ ass-a,"common_voice_kab_20406806,common_voice_kab_20590370,common_voice_kab_20438304,common_voice_kab_20999794,common_voice_kab_22242400"
d aẓɣal mliḥ ass-a neɣ uhu,"common_voice_kab_23726518,common_voice_kab_23496344"
d bab imuhal yesseftayen idrimen-is deg tmura n berra,"common_voice_kab_19053920,common_voice_kab_19093135,common_voice_kab_21870492,common_voice_kab_20884963,common_voice_kab_19160781"
d bab n tsekla,"common_voice_kab_22317545,common_voice_kab_21579293,common_voice_kab_20682470,common_voice_kab_19425439,common_voice_kab_20186838"
d bab n yigenwan i d-ixelqen imdanen d iɣersiwen,"common_voice_kab_24807729,common_voice_kab_24661510"
d bab sliman i yesserkden ifeggagen,"common_voice_kab_18771896,common_voice_kab_18669864,common_voice_kab_18689353,common_voice_kab_18740330,common_voice_kab_22466729"
d baba ay iyi-d-yessawḍen ɣer da,"common_voice_kab_34003692,common_voice_kab_33142091"
d baba ay yessefraken taḥanut,"common_voice_kab_23408545,common_voice_kab_23616579"
d baba ay ɣezzifen akk deg-neɣ,"common_voice_kab_23435030,common_voice_kab_23638924"
d baba ay ɣezzifen akk fell-aneɣ,"common_voice_kab_33135409,common_voice_kab_34276435"
d baba d nekk i t-yessnen,"common_voice_kab_20782627,common_voice_kab_20475441,common_voice_kab_21797173,common_voice_kab_22479309,common_voice_kab_19192372"
d baba iyi-d-yennan,"common_voice_kab_20115116,common_voice_kab_19405207,common_voice_kab_21096153,common_voice_kab_22276902,common_voice_kab_20629742"
d baba iyi-ifkan isem-agi n tasedda,"common_voice_kab_20198198,common_voice_kab_20687388,common_voice_kab_21573573,common_voice_kab_22340184"
d baba-k i lliɣ a luc,"common_voice_kab_18305285,common_voice_kab_17895773,common_voice_kab_17989101,common_voice_kab_18132614,common_voice_kab_18491352,common_voice_kab_17997262"
d baba-k mhenni,"common_voice_kab_23411548,common_voice_kab_23411583,common_voice_kab_23699274"
d baba-k tom,"common_voice_kab_20493733,common_voice_kab_20848026,common_voice_kab_19462385,common_voice_kab_19380883,common_voice_kab_21852189"
d baba-m mhenni,"common_voice_kab_23684091,common_voice_kab_23588838"
d baba-m tom,"common_voice_kab_19436974,common_voice_kab_21662371,common_voice_kab_20229875,common_voice_kab_22371307,common_voice_kab_20728785"
d baba-s i as-yugin ad iddu yid-sen,"common_voice_kab_33233402,common_voice_kab_33690177"
d baba-s is-tt-yefkan,"common_voice_kab_18766494,common_voice_kab_18625866,common_voice_kab_18819374,common_voice_kab_18575996,common_voice_kab_18538240"
d baba-s is-tt-yeksen,"common_voice_kab_18675864,common_voice_kab_18575912,common_voice_kab_18826455,common_voice_kab_18779257"
d baba-s kan i d ddeb-is,"common_voice_kab_18023789,common_voice_kab_17996228,common_voice_kab_22426538,common_voice_kab_18085586,common_voice_kab_17962980"
d baba-s n teqcicin,"common_voice_kab_20516573,common_voice_kab_20906022,common_voice_kab_21912484,common_voice_kab_20424729,common_voice_kab_20402218"
d baba-s n yidir wihin,"common_voice_kab_20865251,common_voice_kab_20834382,common_voice_kab_22444364,common_voice_kab_20814777,common_voice_kab_21764003,common_voice_kab_20893280"
d baba-tkent tom,"common_voice_kab_20638520,common_voice_kab_19285292,common_voice_kab_21143703,common_voice_kab_20130168"
d baba-twen tom,"common_voice_kab_22413298,common_voice_kab_20258099,common_voice_kab_20729578,common_voice_kab_19434886,common_voice_kab_21691756"
d bell ay d-yesnulfan asawal,"common_voice_kab_23302678,common_voice_kab_23028421"
d bern i d tamanaɣt n sswis,"common_voice_kab_23752840,common_voice_kab_23544326"
d betty ay yenɣan yemma-k,"common_voice_kab_23370756,common_voice_kab_22961910"
d bill ay sḍelmen ɣef lexṣara-nni,"common_voice_kab_34816524,common_voice_kab_33383823"
d bill ay yuran tabṛat-nni,"common_voice_kab_23177886,common_voice_kab_23359741"
d bu iṭerbiben-nni i yi-d-yennan akka,"common_voice_kab_21683281,common_voice_kab_19082086,common_voice_kab_22405558,common_voice_kab_20728353,common_voice_kab_19115733"
d bu tezrirt,"common_voice_kab_19295302,common_voice_kab_21249704,common_voice_kab_22326710,common_voice_kab_20674682"
d bu tkerkas i telliḍ,"common_voice_kab_23666339,common_voice_kab_23953363"
d bu tmegṛaḍ,"common_voice_kab_19140380,common_voice_kab_19082752,common_voice_kab_22639389,common_voice_kab_20805680,common_voice_kab_21841851,common_voice_kab_19050872"
d bu tqulhatin,"common_voice_kab_22300817,common_voice_kab_19046011,common_voice_kab_21097565,common_voice_kab_19006580,common_voice_kab_19189491"
d bu tqulhatin i yetthuzzun ammas,"common_voice_kab_17404680,common_voice_kab_17518588,common_voice_kab_17407475,common_voice_kab_18299415,common_voice_kab_17824639,common_voice_kab_18077908,common_voice_kab_17764074,common_voice_kab_17692804,common_voice_kab_18433608,common_voice_kab_17396100,common_voice_kab_17512568,common_voice_kab_17589200,common_voice_kab_17532010,common_voice_kab_17363946,common_voice_kab_17557976,common_voice_kab_17369936,common_voice_kab_17566383"
d bu tuyat,"common_voice_kab_18040465,common_voice_kab_18287523,common_voice_kab_18023670,common_voice_kab_18964844,common_voice_kab_18041737"
d bu txidas keččini,"common_voice_kab_20216301,common_voice_kab_19314764,common_voice_kab_20714924,common_voice_kab_22365360"
d bu uqlal isemnenni tiɣrifin icca-tent ɣef tikkelt,"common_voice_kab_18041555,common_voice_kab_17912512,common_voice_kab_17946897,common_voice_kab_22464055,common_voice_kab_18514652,common_voice_kab_17895535"
d bu ṛṛay,"common_voice_kab_18039304,common_voice_kab_17901120,common_voice_kab_18085566,common_voice_kab_17938302,common_voice_kab_18981149"
d bucḥiḍ i t-inɣan,"common_voice_kab_22350373,common_voice_kab_17940249,common_voice_kab_18517733,common_voice_kab_18040860"
d butefliqa neɣ d uyeḥya wwin tamurt ar yifri,"common_voice_kab_18009596,common_voice_kab_18652794,common_voice_kab_18064951,common_voice_kab_17894323,common_voice_kab_17935403"
d buxus i yewwin leɛmer-ik asmi tqubleḍ tagrawla,"common_voice_kab_18535779,common_voice_kab_18546496,common_voice_kab_18583165,common_voice_kab_18532870"
d ccahed i mazal ar ass-agi ɣef uẓekka n meɛǧuṭa,"common_voice_kab_20657364,common_voice_kab_21129450,common_voice_kab_22320276,common_voice_kab_19079686,common_voice_kab_19110416"
d ccan-iw d kečč i ireffden aqerru-w,"common_voice_kab_24331473"
d ccariɛa n rebbi i iyi-issefraḥen,"common_voice_kab_24389000"
d ccaɣub ameqqran,"common_voice_kab_22339246,common_voice_kab_19503468,common_voice_kab_21407424,common_voice_kab_20181340"
d ccbaḥa n wul i d sseḥḥ,"common_voice_kab_18308895,common_voice_kab_18423803,common_voice_kab_18481681,common_voice_kab_18307231,common_voice_kab_18466726,common_voice_kab_18658903"
d ccer akked lbaṭel i yellan deg-s,"common_voice_kab_24359103,common_voice_kab_24550127"
d ccix-nneɣ d mmi-s n leḥram,"common_voice_kab_23115820,common_voice_kab_23345279"
d cciṭan,"common_voice_kab_21259731,common_voice_kab_22335779,common_voice_kab_19413779,common_voice_kab_20181772,common_voice_kab_20687337"
d ccna n lḥemd i rebbi-neɣ,"common_voice_kab_24279410"
d ccna sefhem-as lemtul,"common_voice_kab_19122146,common_voice_kab_20751679,common_voice_kab_21764309,common_voice_kab_19014943,common_voice_kab_22437246,common_voice_kab_18996967"
d ccrab-iw,"common_voice_kab_22480428,common_voice_kab_19140893,common_voice_kab_19054010,common_voice_kab_21801639,common_voice_kab_20784551,common_voice_kab_19084310"
d ccwal yellan deg yexxamen i ttawin ɣer wennar n ddabex,"common_voice_kab_18004494,common_voice_kab_17954451,common_voice_kab_18089897,common_voice_kab_17983817"
d ccɣel i d-yeṭṭalaben aṭas n wakud,"common_voice_kab_33993020,common_voice_kab_33385304"
d ccɣel i t-yewwin,"common_voice_kab_20487732,common_voice_kab_20398982,common_voice_kab_20805782,common_voice_kab_22661067,common_voice_kab_21838951,common_voice_kab_20418260"
d ccɣel yettawin aṭas lweqt,"common_voice_kab_23623685,common_voice_kab_23434935"
d ccɣel-iw nekk,"common_voice_kab_20938111,common_voice_kab_19866737,common_voice_kab_21968447,common_voice_kab_19850094,common_voice_kab_19387882"
d ccḍeḥ kan i bɣiɣ ad ceḍḥeɣ,"common_voice_kab_23334725,common_voice_kab_23119476"
d ccṛab waki,"common_voice_kab_21688981,common_voice_kab_19174119,common_voice_kab_22406017,common_voice_kab_19126002,common_voice_kab_19013116"
d ccṛab wina,"common_voice_kab_21764025,common_voice_kab_19015317,common_voice_kab_22437249,common_voice_kab_20748574,common_voice_kab_19122117"
d cebbirdu i yeccan akk tiyuzaḍ-nneɣ,"common_voice_kab_18074356,common_voice_kab_17918979,common_voice_kab_17946908,common_voice_kab_18903839,common_voice_kab_17892644"
d cfaya i d-ifegḍen,"common_voice_kab_20705941,common_voice_kab_19110909,common_voice_kab_21608764,common_voice_kab_19014688,common_voice_kab_22352183"
d ciṭuḥ-nni iwumi tɛelmeḍ kan iwumi ɛelmeɣ ula d nekk,"common_voice_kab_24361830,common_voice_kab_24511348"
d cwami-w i d-yesnulfan iman-iw,"common_voice_kab_17905413,common_voice_kab_17947715,common_voice_kab_18098824,common_voice_kab_22374920,common_voice_kab_17940451"
d d tibettit i nerra d ṭṭabla,"common_voice_kab_23574463,common_voice_kab_23896598"
d dan ara yilin d aselmad-nwen,"common_voice_kab_23671790,common_voice_kab_23585471"
d dan ara yilin d aselmad-nwent,"common_voice_kab_25448870,common_voice_kab_25523979"
d dan i izemlen tabṛat-nni,"common_voice_kab_23330798,common_voice_kab_23072118"
d daniel i d mmi-s awḥid n jacob,"common_voice_kab_33077674,common_voice_kab_33605347"
